SNP	marker	chr	pos_cM	pos_bp
2_230676014	M1744	2	134.4	230676014
2_230818699	M1745	2	134.6	230818699
2_230969591	M1746	2	134.8	230969591
2_231151836	M1747	2	135	231151836
2_231357201	M1748	2	135.2	231357201
2_231612228	M1749	2	135.4	231612228
2_231802829	M1750	2	135.6	231802829
2_231973112	M1751	2	135.8	231973112
2_232406715	M1753	2	136.2	232406715
2_232611115	M1754	2	136.4	232611115
2_232803530	M1755	2	136.6	232803530
2_233232340	M1757	2	137	233232340
2_233481518	M1758	2	137.2	233481518
2_233934553	M1760	2	137.6	233934553
2_234084359	M1761	2	137.8	234084359
2_234280663	M1762	2	138	234280663
2_234500081	M1763	2	138.2	234500081
2_234704466	M1764	2	138.4	234704466
2_234935502	M1765	2	138.6	234935502
2_235396039	M1767	2	139	235396039
2_235800184	M1769	2	139.4	235800184
2_235982658	M1770	2	139.6	235982658
2_236020202	M1771	2	139.8	236020202
2_236049012	M1772	2	140	236049012
2_236278746	M1774	2	140.4	236278746
2_236444488	M1776	2	140.8	236444488
2_236525163	M1777	2	141	236525163
2_236683809	M1778	2	141.2	236683809
2_236897105	M1779	2	141.4	236897105
2_237095440	M1780	2	141.6	237095440
2_237214494	M1781	2	141.8	237214494
2_237421392	M1782	2	142	237421392
2_237629516	M1783	2	142.2	237629516
2_237849378	M1784	2	142.4	237849378
2_237990567	M1785	2	142.6	237990567
2_238126730	M1789	2	143.4	238126730
2_238200379	M1790	2	143.6	238200379
2_238274071	M1791	2	143.8	238274071
2_238346164	M1792	2	144	238346164
2_238419651	M1793	2	144.2	238419651
2_238529989	M1794	2	144.4	238529989
2_238603048	M1795	2	144.6	238603048
2_238676686	M1796	2	144.8	238676686
2_238840148	M1798	2	145.2	238840148
2_238910000	M1799	2	145.4	238910000
2_238978017	M1800	2	145.6	238978017
2_239059780	M1801	2	145.8	239059780
2_239116837	M1802	2	146	239116837
2_239199074	M1803	2	146.2	239199074
2_239273970	M1804	2	146.4	239273970
2_239347424	M1805	2	146.6	239347424
2_239421062	M1806	2	146.8	239421062
2_239498327	M1807	2	147	239498327
2_239571954	M1808	2	147.2	239571954
2_239642877	M1809	2	147.4	239642877
2_239716650	M1810	2	147.6	239716650
2_239787329	M1811	2	147.8	239787329
2_239860729	M1812	2	148	239860729
2_239932579	M1813	2	148.2	239932579
2_240001667	M1814	2	148.4	240001667
2_240075219	M1815	2	148.6	240075219
2_240146456	M1816	2	148.8	240146456
2_240221473	M1817	2	149	240221473
2_240283879	M1818	2	149.2	240283879
2_240369713	M1819	2	149.4	240369713
2_240430346	M1820	2	149.6	240430346
2_240507884	M1821	2	149.8	240507884
2_240583871	M1822	2	150	240583871
2_241911485	M1823	2	150.2	241911485
2_241978003	M1824	2	150.4	241978003
2_242058966	M1825	2	150.6	242058966
2_242135123	M1826	2	150.8	242135123
2_242286756	M1828	2	151.2	242286756
2_242362668	M1829	2	151.4	242362668
2_242897326	M1835	2	152.6	242897326
2_243226777	M1840	2	153.6	243226777
2_243296804	M1841	2	153.8	243296804
2_243369882	M1842	2	154	243369882
2_243442747	M1843	2	154.2	243442747
2_243503007	M1844	2	154.4	243503007
2_243589398	M1845	2	154.6	243589398
2_243659855	M1846	2	154.8	243659855
2_243806943	M1848	2	155.2	243806943
2_243877574	M1849	2	155.4	243877574
2_243973692	M1850	2	155.6	243973692
2_244088636	M1851	2	155.8	244088636
2_244207512	M1852	2	156	244207512
2_244323125	M1853	2	156.2	244323125
2_244427044	M1854	2	156.4	244427044
2_244442276	End2	2	156.429315139676	244442276
3_1	Start3	3	-2.73474040328316	1
3_69548	M1876	3	-2.2	69548
3_121571	M1878	3	-1.8	121571
3_168718	M1879	3	-1.6	168718
3_214938	M1880	3	-1.4	214938
3_258352	M1881	3	-1.2	258352
3_305496	M1882	3	-1	305496
3_356261	M1883	3	-0.8	356261
3_524843	M1884	3	-0.6	524843
3_565407	M1886	3	-0.2	565407
3_603018	M1887	3	0	603018
3_647224	M1888	3	0.2	647224
3_709171	M1889	3	0.4	709171
3_738636	M1890	3	0.6	738636
3_777153	M1891	3	0.8	777153
3_815955	M1892	3	1	815955
3_854501	M1893	3	1.2	854501
3_893035	M1894	3	1.4	893035
3_933131	M1895	3	1.6	933131
3_971672	M1896	3	1.8	971672
3_1010681	M1897	3	2	1010681
3_1049220	M1898	3	2.2	1049220
3_1087910	M1899	3	2.4	1087910
3_1157086	M1900	3	2.6	1157086
3_1238740	M1902	3	3	1238740
3_1275754	M1903	3	3.2	1275754
3_1354648	M1905	3	3.6	1354648
3_1393194	M1906	3	3.8	1393194
3_1431745	M1907	3	4	1431745
3_1470367	M1908	3	4.2	1470367
3_1508338	M1909	3	4.4	1508338
3_1547045	M1910	3	4.6	1547045
3_1586091	M1911	3	4.8	1586091
3_1630460	M1912	3	5	1630460
3_1664243	M1915	3	5.6	1664243
3_1702146	M1916	3	5.8	1702146
3_1742049	M1917	3	6	1742049
3_1779754	M1918	3	6.2	1779754
3_1818304	M1919	3	6.4	1818304
3_1856853	M1920	3	6.6	1856853
3_1894552	M1921	3	6.8	1894552
3_1932978	M1922	3	7	1932978
3_2039029	M1925	3	7.6	2039029
3_2077518	M1926	3	7.8	2077518
3_2116126	M1927	3	8	2116126
3_2154135	M1928	3	8.2	2154135
3_2201408	M1929	3	8.4	2201408
3_2241698	M1930	3	8.6	2241698
3_2285406	M1932	3	9	2285406
3_2361130	M1933	3	9.2	2361130
3_2437149	M1935	3	9.6	2437149
3_2474575	M1936	3	9.8	2474575
3_2520373	M1937	3	10	2520373
3_2559032	M1938	3	10.2	2559032
3_2613628	M1940	3	10.6	2613628
3_2652179	M1941	3	10.8	2652179
3_2690732	M1942	3	11	2690732
3_2729267	M1943	3	11.2	2729267
3_2767805	M1944	3	11.4	2767805
3_2806339	M1945	3	11.6	2806339
3_2833644	M1946	3	11.8	2833644
3_2880546	M1947	3	12	2880546
3_2921374	M1948	3	12.2	2921374
3_2961100	M1949	3	12.4	2961100
3_3011609	M1950	3	12.6	3011609
3_3050231	M1951	3	12.8	3050231
3_3099690	M1952	3	13	3099690
3_3138235	M1953	3	13.2	3138235
3_3176145	M1954	3	13.4	3176145
3_3238786	M1955	3	13.6	3238786
3_3277336	M1956	3	13.8	3277336
3_3326115	M1957	3	14	3326115
3_3347801	M1958	3	14.2	3347801
3_3386278	M1959	3	14.4	3386278
3_3424760	M1960	3	14.6	3424760
3_3463301	M1961	3	14.8	3463301
3_3492569	M1962	3	15	3492569
3_3537002	M1963	3	15.2	3537002
3_3590111	M1964	3	15.4	3590111
3_3665480	M1966	3	15.8	3665480
3_3709270	M1967	3	16	3709270
3_3752754	M1968	3	16.2	3752754
3_3789045	M1969	3	16.4	3789045
3_3838931	M1970	3	16.6	3838931
3_3880962	M1971	3	16.8	3880962
3_3921236	M1972	3	17	3921236
3_3963266	M1973	3	17.2	3963266
3_4006754	M1974	3	17.4	4006754
3_4057983	M1975	3	17.6	4057983
3_4092016	M1976	3	17.8	4092016
3_4141328	M1977	3	18	4141328
3_4260840	M1979	3	18.4	4260840
3_4319428	M1980	3	18.6	4319428
3_4323432	M1982	3	19	4323432
3_4370380	M1983	3	19.2	4370380
3_4448345	M1984	3	19.4	4448345
3_4511250	M1985	3	19.6	4511250
3_4570836	M1986	3	19.8	4570836
3_4664080	M1987	3	20	4664080
3_4780452	M1988	3	20.2	4780452
3_4854595	M1989	3	20.4	4854595
3_4885469	M1990	3	20.6	4885469
3_4916588	M1991	3	20.8	4916588
3_4947709	M1992	3	21	4947709
3_4978240	M1993	3	21.2	4978240
3_5016584	M1994	3	21.4	5016584
3_5049086	M1995	3	21.6	5049086
3_5079227	M1996	3	21.8	5079227
3_5102101	M1997	3	22	5102101
3_5133310	M1998	3	22.2	5133310
3_5179554	M1999	3	22.4	5179554
3_5235603	M2000	3	22.6	5235603
3_5333012	M2002	3	23	5333012
3_5372309	M2003	3	23.2	5372309
3_5467167	M2004	3	23.4	5467167
3_5519730	M2005	3	23.6	5519730
3_5543689	M2006	3	23.8	5543689
3_5619781	M2007	3	24	5619781
3_5717996	M2009	3	24.4	5717996
3_5759713	M2010	3	24.6	5759713
3_5776611	M2011	3	24.8	5776611
3_5854385	M2012	3	25	5854385
3_5913582	M2013	3	25.2	5913582
3_6129445	M2015	3	25.6	6129445
3_6198764	M2016	3	25.8	6198764
3_6268771	M2017	3	26	6268771
3_6334974	M2018	3	26.2	6334974
3_6484726	M2021	3	26.8	6484726
3_6590102	M2022	3	27	6590102
3_6656176	M2023	3	27.2	6656176
3_6720669	M2024	3	27.4	6720669
3_6800538	M2025	3	27.6	6800538
3_6869183	M2026	3	27.8	6869183
3_6939143	M2027	3	28	6939143
3_7000194	M2028	3	28.2	7000194
3_7069704	M2029	3	28.4	7069704
3_7142477	M2030	3	28.6	7142477
3_7211129	M2031	3	28.8	7211129
3_7308391	M2032	3	29	7308391
3_7378462	M2033	3	29.2	7378462
3_7447211	M2034	3	29.4	7447211
3_7517542	M2035	3	29.6	7517542
3_7590572	M2036	3	29.8	7590572
3_7682642	M2037	3	30	7682642
3_7776419	M2038	3	30.2	7776419
3_7859939	M2039	3	30.4	7859939
3_7944697	M2040	3	30.6	7944697
3_8029711	M2041	3	30.8	8029711
3_8162181	M2043	3	31.2	8162181
3_8235881	M2044	3	31.4	8235881
3_8305739	M2045	3	31.6	8305739
3_8409963	M2046	3	31.8	8409963
3_8462893	M2047	3	32	8462893
3_8535570	M2048	3	32.2	8535570
3_8573341	M2049	3	32.4	8573341
3_8684258	M2050	3	32.6	8684258
3_8888007	M2052	3	33	8888007
3_9046485	M2054	3	33.4	9046485
3_9137941	M2055	3	33.6	9137941
3_9236293	M2056	3	33.8	9236293
3_9352476	M2057	3	34	9352476
3_9555528	M2059	3	34.4	9555528
3_9656029	M2060	3	34.6	9656029
3_9761665	M2061	3	34.8	9761665
3_9861131	M2062	3	35	9861131
3_9966947	M2063	3	35.2	9966947
3_10060578	M2064	3	35.4	10060578
3_10175408	M2065	3	35.6	10175408
3_10250738	M2066	3	35.8	10250738
3_10395984	M2067	3	36	10395984
3_10499262	M2068	3	36.2	10499262
3_10602975	M2069	3	36.4	10602975
3_10728650	M2070	3	36.6	10728650
3_10807598	M2071	3	36.8	10807598
3_10888727	M2072	3	37	10888727
3_10980726	M2073	3	37.2	10980726
3_11083588	M2074	3	37.4	11083588
3_11183009	M2075	3	37.6	11183009
3_11289556	M2076	3	37.8	11289556
3_11384175	M2077	3	38	11384175
3_11520976	M2078	3	38.2	11520976
3_11639359	M2079	3	38.4	11639359
3_11951782	M2081	3	38.8	11951782
3_12106857	M2082	3	39	12106857
3_12275537	M2083	3	39.2	12275537
3_12418063	M2084	3	39.4	12418063
3_12583032	M2085	3	39.6	12583032
3_12737496	M2086	3	39.8	12737496
3_13058650	M2088	3	40.2	13058650
3_13141983	M2089	3	40.4	13141983
3_13370217	M2090	3	40.6	13370217
3_13457469	M2091	3	40.8	13457469
3_13820403	M2093	3	41.2	13820403
3_13974810	M2094	3	41.4	13974810
3_14130189	M2095	3	41.6	14130189
3_14286017	M2096	3	41.8	14286017
3_14453333	M2097	3	42	14453333
3_14627982	M2098	3	42.2	14627982
3_14784786	M2099	3	42.4	14784786
3_14912650	M2100	3	42.6	14912650
3_15086202	M2101	3	42.8	15086202
3_15245046	M2102	3	43	15245046
3_15428213	M2103	3	43.2	15428213
3_15743996	M2105	3	43.6	15743996
3_15903339	M2106	3	43.8	15903339
3_16057940	M2107	3	44	16057940
3_16214068	M2108	3	44.2	16214068
3_16369540	M2109	3	44.4	16369540
3_16529758	M2110	3	44.6	16529758
3_16688619	M2111	3	44.8	16688619
3_16844580	M2112	3	45	16844580
3_16979702	M2113	3	45.2	16979702
3_17021762	M2114	3	45.4	17021762
3_17300701	M2115	3	45.6	17300701
3_17477296	M2116	3	45.8	17477296
3_17634654	M2117	3	46	17634654
3_17793252	M2118	3	46.2	17793252
3_17938406	M2119	3	46.4	17938406
3_18094444	M2120	3	46.6	18094444
3_18259759	M2121	3	46.8	18259759
3_18419374	M2122	3	47	18419374
3_18585272	M2123	3	47.2	18585272
3_18907587	M2125	3	47.6	18907587
3_19073804	M2126	3	47.8	19073804
3_19227007	M2127	3	48	19227007
3_19387891	M2128	3	48.2	19387891
3_19539073	M2129	3	48.4	19539073
3_19699657	M2130	3	48.6	19699657
3_19857195	M2131	3	48.8	19857195
3_20018278	M2132	3	49	20018278
3_20169794	M2133	3	49.2	20169794
3_20326910	M2134	3	49.4	20326910
3_20481401	M2135	3	49.6	20481401
3_20638292	M2136	3	49.8	20638292
3_20814325	M2137	3	50	20814325
3_21119775	M2138	3	50.2	21119775
3_21460584	M2139	3	50.4	21460584
3_21800603	M2140	3	50.6	21800603
3_22722410	M2143	3	51.2	22722410
3_23027773	M2144	3	51.4	23027773
3_23355289	M2145	3	51.6	23355289
3_23692692	M2146	3	51.8	23692692
3_24154584	M2147	3	52	24154584
3_25376343	M2149	3	52.4	25376343
3_26003842	M2150	3	52.6	26003842
3_27953857	M2153	3	53.2	27953857
3_28290482	M2154	3	53.4	28290482
3_28716308	M2155	3	53.6	28716308
3_29100277	M2156	3	53.8	29100277
3_29476877	M2157	3	54	29476877
3_30151315	M2158	3	54.2	30151315
3_31127090	M2159	3	54.4	31127090
3_32013429	M2160	3	54.6	32013429
3_33929250	M2161	3	54.8	33929250
3_35403137	M2162	3	55	35403137
3_36883907	M2163	3	55.2	36883907
3_40879156	M2164	3	55.4	40879156
3_43702295	M2166	3	55.8	43702295
3_46319486	M2167	3	56	46319486
3_48943668	M2168	3	56.2	48943668
3_50561737	M2169	3	56.4	50561737
3_52216441	M2170	3	56.6	52216441
3_54065744	M2172	3	57	54065744
3_55008576	M2173	3	57.2	55008576
3_57616180	M2174	3	57.4	57616180
3_67926832	M2176	3	57.8	67926832
3_80925204	M2177	3	58	80925204
3_96870103	M2180	3	58.6	96870103
3_115939397	M2181	3	58.8	115939397
3_118263576	M2182	3	59	118263576
3_120533042	M2183	3	59.2	120533042
3_122983210	M2184	3	59.4	122983210
3_124692572	M2185	3	59.6	124692572
3_125714161	M2186	3	59.8	125714161
3_126628697	M2187	3	60	126628697
3_128543704	M2189	3	60.4	128543704
3_129429787	M2190	3	60.6	129429787
3_130825058	M2191	3	60.8	130825058
3_132285783	M2192	3	61	132285783
3_133769605	M2193	3	61.2	133769605
3_135199616	M2194	3	61.4	135199616
3_136598908	M2195	3	61.6	136598908
3_137478010	M2197	3	62	137478010
3_137906707	M2198	3	62.2	137906707
3_138892437	M2199	3	62.4	138892437
3_139875229	M2200	3	62.6	139875229
3_140840283	M2201	3	62.8	140840283
3_141813734	M2202	3	63	141813734
3_142868558	M2203	3	63.2	142868558
3_143813455	M2204	3	63.4	143813455
3_144768720	M2205	3	63.6	144768720
3_146847097	M2206	3	63.8	146847097
3_147865755	M2207	3	64	147865755
3_148064719	M2208	3	64.2	148064719
3_148248464	M2209	3	64.4	148248464
3_148596956	M2210	3	64.6	148596956
3_148816823	M2211	3	64.8	148816823
3_148970812	M2212	3	65	148970812
3_149545511	M2213	3	65.2	149545511
3_150783709	M2214	3	65.4	150783709
3_151226630	M2215	3	65.6	151226630
3_151658028	M2216	3	65.8	151658028
3_152164934	M2217	3	66	152164934
3_152656718	M2218	3	66.2	152656718
3_153083400	M2219	3	66.4	153083400
3_153517735	M2220	3	66.6	153517735
3_153979446	M2221	3	66.8	153979446
3_154424213	M2222	3	67	154424213
3_155318074	M2224	3	67.4	155318074
3_155782303	M2225	3	67.6	155782303
3_156217453	M2226	3	67.8	156217453
3_156709394	M2227	3	68	156709394
3_157196840	M2228	3	68.2	157196840
3_157730850	M2229	3	68.4	157730850
3_158184560	M2230	3	68.6	158184560
3_158529114	M2231	3	68.8	158529114
3_158806191	M2232	3	69	158806191
3_159074551	M2233	3	69.2	159074551
3_159378045	M2234	3	69.4	159378045
3_159664696	M2235	3	69.6	159664696
3_159946397	M2236	3	69.8	159946397
3_160186107	M2237	3	70	160186107
3_160351748	M2238	3	70.2	160351748
3_160481073	M2239	3	70.4	160481073
3_160681095	M2240	3	70.6	160681095
3_160917770	M2241	3	70.8	160917770
3_161124323	M2242	3	71	161124323
3_161331189	M2243	3	71.2	161331189
3_161518199	M2244	3	71.4	161518199
3_161943915	M2246	3	71.8	161943915
3_162134981	M2247	3	72	162134981
3_162360105	M2248	3	72.2	162360105
3_162556054	M2249	3	72.4	162556054
3_162765500	M2250	3	72.6	162765500
3_162988429	M2251	3	72.8	162988429
3_163206259	M2252	3	73	163206259
3_163448945	M2253	3	73.2	163448945
3_163872206	M2255	3	73.6	163872206
3_164103433	M2256	3	73.8	164103433
3_164296888	M2257	3	74	164296888
3_164634993	M2258	3	74.2	164634993
3_166552878	M2260	3	74.6	166552878
3_167021520	M2261	3	74.8	167021520
3_167439448	M2262	3	75	167439448
3_167930951	M2263	3	75.2	167930951
3_168313772	M2264	3	75.4	168313772
3_168767401	M2265	3	75.6	168767401
3_169104240	M2266	3	75.8	169104240
3_169290689	M2267	3	76	169290689
3_169470371	M2268	3	76.2	169470371
3_169650879	M2269	3	76.4	169650879
3_169832276	M2270	3	76.6	169832276
3_170033522	M2271	3	76.8	170033522
3_170084098	M2272	3	77	170084098
3_170134455	M2273	3	77.2	170134455
3_170335597	M2274	3	77.4	170335597
3_170613191	M2275	3	77.6	170613191
3_170876881	M2276	3	77.8	170876881
3_171164466	M2277	3	78	171164466
3_171455615	M2278	3	78.2	171455615
3_171734764	M2279	3	78.4	171734764
3_172034624	M2280	3	78.6	172034624
3_172312524	M2281	3	78.8	172312524
3_172822698	M2283	3	79.2	172822698
3_173007413	M2284	3	79.4	173007413
3_173186011	M2285	3	79.6	173186011
3_173362934	M2286	3	79.8	173362934
3_173561578	M2287	3	80	173561578
3_173731122	M2288	3	80.2	173731122
3_173907981	M2289	3	80.4	173907981
3_174086408	M2290	3	80.6	174086408
3_174101028	M2291	3	80.8	174101028
3_174426768	M2293	3	81.2	174426768
3_174714145	M2294	3	81.4	174714145
3_175004362	M2295	3	81.6	175004362
3_175329506	M2296	3	81.8	175329506
3_175678772	M2297	3	82	175678772
3_176054268	M2298	3	82.2	176054268
3_176308147	M2299	3	82.4	176308147
3_176537033	M2300	3	82.6	176537033
3_176791494	M2301	3	82.8	176791494
3_177100086	M2302	3	83	177100086
3_177336675	M2303	3	83.2	177336675
3_177867844	M2305	3	83.6	177867844
3_178116507	M2306	3	83.8	178116507
3_178361693	M2307	3	84	178361693
3_178605228	M2308	3	84.2	178605228
3_178864104	M2309	3	84.4	178864104
3_178999942	M2310	3	84.6	178999942
3_179147056	M2311	3	84.8	179147056
3_179293837	M2312	3	85	179293837
3_179732787	M2314	3	85.4	179732787
3_179872811	M2315	3	85.6	179872811
3_180014097	M2316	3	85.8	180014097
3_180155704	M2317	3	86	180155704
3_180302871	M2318	3	86.2	180302871
3_180443472	M2319	3	86.4	180443472
3_180582096	M2320	3	86.6	180582096
3_180736993	M2321	3	86.8	180736993
3_180865295	M2322	3	87	180865295
3_181031945	M2323	3	87.2	181031945
3_181171708	M2324	3	87.4	181171708
3_181307767	M2325	3	87.6	181307767
3_181448733	M2326	3	87.8	181448733
3_181582583	M2327	3	88	181582583
3_181872137	M2329	3	88.4	181872137
3_181989653	M2330	3	88.6	181989653
3_182183955	M2331	3	88.8	182183955
3_182322573	M2332	3	89	182322573
3_182455510	M2333	3	89.2	182455510
3_182586675	M2334	3	89.4	182586675
3_182728562	M2335	3	89.6	182728562
3_182853515	M2336	3	89.8	182853515
3_183471391	M2337	3	90	183471391
3_183596839	M2338	3	90.2	183596839
3_183719228	M2339	3	90.4	183719228
3_183846888	M2340	3	90.6	183846888
3_183972295	M2341	3	90.8	183972295
3_184132680	M2342	3	91	184132680
3_184231493	M2343	3	91.2	184231493
3_184358215	M2344	3	91.4	184358215
3_184503746	M2345	3	91.6	184503746
3_184614686	M2346	3	91.8	184614686
3_184757894	M2347	3	92	184757894
3_184884689	M2348	3	92.2	184884689
3_185205826	M2349	3	92.4	185205826
3_185428458	M2350	3	92.6	185428458
3_185618806	M2351	3	92.8	185618806
3_185940352	M2352	3	93	185940352
3_186138473	M2353	3	93.2	186138473
3_186385904	M2354	3	93.4	186385904
3_186625099	M2355	3	93.6	186625099
3_186846841	M2356	3	93.8	186846841
3_187099834	M2357	3	94	187099834
3_187334308	M2358	3	94.2	187334308
3_187584030	M2359	3	94.4	187584030
3_187828270	M2360	3	94.6	187828270
3_188038928	M2361	3	94.8	188038928
3_188285802	M2362	3	95	188285802
3_188668698	M2364	3	95.4	188668698
3_188898454	M2365	3	95.6	188898454
3_189129392	M2366	3	95.8	189129392
3_189360747	M2367	3	96	189360747
3_189618281	M2368	3	96.2	189618281
3_189827003	M2369	3	96.4	189827003
3_189958572	M2370	3	96.6	189958572
3_190065342	M2371	3	96.8	190065342
3_190454208	M2373	3	97.2	190454208
3_190645825	M2374	3	97.4	190645825
3_190815515	M2375	3	97.6	190815515
3_191144157	M2376	3	97.8	191144157
3_191470586	M2377	3	98	191470586
3_191779916	M2378	3	98.2	191779916
3_192427513	M2380	3	98.6	192427513
3_192750146	M2381	3	98.8	192750146
3_193130998	M2382	3	99	193130998
3_193442918	M2383	3	99.2	193442918
3_193726054	M2384	3	99.4	193726054
3_194039693	M2385	3	99.6	194039693
3_194380276	M2386	3	99.8	194380276
3_194722217	M2387	3	100	194722217
3_195026116	M2388	3	100.2	195026116
3_196561495	M2389	3	100.4	196561495
3_196990591	M2390	3	100.6	196990591
3_197852073	M2392	3	101	197852073
3_198285427	M2393	3	101.2	198285427
3_198413784	M2394	3	101.4	198413784
3_198577465	M2395	3	101.6	198577465
3_198716499	M2396	3	101.8	198716499
3_198859122	M2397	3	102	198859122
3_198975670	M2398	3	102.2	198975670
3_199116814	M2399	3	102.4	199116814
3_199366408	M2400	3	102.6	199366408
3_199485386	M2401	3	102.8	199485386
3_200300230	M2402	3	103	200300230
3_200586462	M2403	3	103.2	200586462
3_200893375	M2404	3	103.4	200893375
3_201294853	M2405	3	103.6	201294853
3_201768183	M2406	3	103.8	201768183
3_201944827	M2407	3	104	201944827
3_202142214	M2408	3	104.2	202142214
3_202334725	M2409	3	104.4	202334725
3_202564245	M2410	3	104.6	202564245
3_202716366	M2411	3	104.8	202716366
3_204325460	M2418	3	106.2	204325460
3_204494196	M2420	3	106.6	204494196
3_204603930	M2421	3	106.8	204603930
3_205047127	M2425	3	107.6	205047127
3_205774860	M2427	3	108	205774860
3_206102685	M2428	3	108.2	206102685
3_206426312	M2429	3	108.4	206426312
3_206748741	M2430	3	108.6	206748741
3_207060683	M2431	3	108.8	207060683
3_207413218	M2432	3	109	207413218
3_207509080	M2433	3	109.2	207509080
3_207608783	M2434	3	109.4	207608783
3_207734235	M2435	3	109.6	207734235
3_207829748	M2436	3	109.8	207829748
3_207927287	M2437	3	110	207927287
3_208023352	M2438	3	110.2	208023352
3_208071767	M2439	3	110.4	208071767
3_208243732	M2440	3	110.6	208243732
3_208312714	M2441	3	110.8	208312714
3_208414520	M2442	3	111	208414520
3_208516101	M2443	3	111.2	208516101
3_208857762	M2444	3	111.4	208857762
3_209014863	M2445	3	111.6	209014863
3_209089952	M2446	3	111.8	209089952
3_209296869	M2447	3	112	209296869
3_209447437	M2448	3	112.2	209447437
3_209605120	M2449	3	112.4	209605120
3_209752916	M2450	3	112.6	209752916
3_209899364	M2451	3	112.8	209899364
3_210039303	M2452	3	113	210039303
3_210199738	M2453	3	113.2	210199738
3_210389993	M2454	3	113.4	210389993
3_210520895	M2455	3	113.6	210520895
3_210830103	M2457	3	114	210830103
3_210985659	M2458	3	114.2	210985659
3_211134115	M2459	3	114.4	211134115
3_211290952	M2460	3	114.6	211290952
3_211589179	M2462	3	115	211589179
3_211895318	M2464	3	115.4	211895318
3_212041083	M2465	3	115.6	212041083
3_212139694	M2466	3	115.8	212139694
3_212240271	M2467	3	116	212240271
3_212331552	M2468	3	116.2	212331552
3_212413372	M2469	3	116.4	212413372
3_212538569	M2470	3	116.6	212538569
3_212648926	M2471	3	116.8	212648926
3_212746033	M2472	3	117	212746033
3_212843656	M2473	3	117.2	212843656
3_212940776	M2474	3	117.4	212940776
3_213062792	M2475	3	117.6	213062792
3_213159181	M2476	3	117.8	213159181
3_213225560	M2477	3	118	213225560
3_213346265	M2478	3	118.2	213346265
3_213519340	M2479	3	118.4	213519340
3_213692401	M2480	3	118.6	213692401
3_213867482	M2481	3	118.8	213867482
3_214223338	M2483	3	119.2	214223338
3_214400131	M2484	3	119.4	214400131
3_214573312	M2485	3	119.6	214573312
3_214746042	M2486	3	119.8	214746042
3_214917007	M2487	3	120	214917007
3_215114901	M2488	3	120.2	215114901
3_215298875	M2489	3	120.4	215298875
3_215470904	M2490	3	120.6	215470904
3_215792456	M2492	3	121	215792456
3_215921973	M2493	3	121.2	215921973
3_216142246	M2494	3	121.4	216142246
3_216297361	M2495	3	121.6	216297361
3_216458929	M2496	3	121.8	216458929
3_216630674	M2497	3	122	216630674
3_216792600	M2498	3	122.2	216792600
3_216912153	M2499	3	122.4	216912153
3_217233832	M2501	3	122.8	217233832
3_217361661	M2502	3	123	217361661
3_217555082	M2503	3	123.2	217555082
3_217715892	M2504	3	123.4	217715892
3_217875507	M2505	3	123.6	217875507
3_218090492	M2506	3	123.8	218090492
3_218247721	M2508	3	124.2	218247721
3_218297638	M2510	3	124.6	218297638
3_218369678	M2511	3	124.8	218369678
3_218441431	M2512	3	125	218441431
3_218523162	M2513	3	125.2	218523162
3_218606034	M2514	3	125.4	218606034
3_218687358	M2515	3	125.6	218687358
3_218772118	M2516	3	125.8	218772118
3_218848218	M2517	3	126	218848218
3_218931590	M2518	3	126.2	218931590
3_219001779	M2519	3	126.4	219001779
3_219086751	M2520	3	126.6	219086751
3_219167070	M2521	3	126.8	219167070
3_219248709	M2522	3	127	219248709
3_219339424	M2523	3	127.2	219339424
3_219414850	M2524	3	127.4	219414850
3_219543599	M2525	3	127.6	219543599
3_219658282	M2526	3	127.8	219658282
3_219820828	M2527	3	128	219820828
3_219982484	M2528	3	128.2	219982484
3_220431623	M2531	3	128.8	220431623
3_220582852	M2532	3	129	220582852
3_220745538	M2533	3	129.2	220745538
3_220923623	M2534	3	129.4	220923623
3_221028052	M2535	3	129.6	221028052
3_221062404	M2536	3	129.8	221062404
3_221096677	M2537	3	130	221096677
3_221107843	M2538	3	130.2	221107843
3_221167338	M2539	3	130.4	221167338
3_221201804	M2540	3	130.6	221201804
3_221234717	M2541	3	130.8	221234717
3_221270136	M2542	3	131	221270136
3_221304526	M2543	3	131.2	221304526
3_221375687	M2544	3	131.4	221375687
3_221446490	M2545	3	131.6	221446490
3_221518470	M2546	3	131.8	221518470
3_221589281	M2547	3	132	221589281
3_221664644	M2548	3	132.2	221664644
3_221735392	M2549	3	132.4	221735392
3_222094691	M2550	3	132.6	222094691
3_222544007	M2551	3	132.8	222544007
3_222657379	M2552	3	133	222657379
3_222755936	M2553	3	133.2	222755936
3_222863325	M2554	3	133.4	222863325
3_222973164	M2555	3	133.6	222973164
3_223073307	M2556	3	133.8	223073307
3_223119632	M2557	3	134	223119632
3_223275888	M2558	3	134.2	223275888
3_223384608	M2559	3	134.4	223384608
3_223488253	M2560	3	134.6	223488253
3_223605050	M2561	3	134.8	223605050
3_223707527	M2562	3	135	223707527
3_223828961	M2563	3	135.2	223828961
3_224040375	M2565	3	135.6	224040375
3_224151711	M2566	3	135.8	224151711
3_224378872	M2568	3	136.2	224378872
3_224514564	M2569	3	136.4	224514564
3_225198506	M2570	3	136.6	225198506
3_225294361	M2571	3	136.8	225294361
3_225381508	M2572	3	137	225381508
3_225473755	M2573	3	137.2	225473755
3_225654762	M2574	3	137.4	225654762
