 RI_ACCESSION , GENUS        , SPECIES      , ACP          , ACNO         , ACCID        , GEOCTY       , GEOSTA       , LAT          , LON          , ACELLO       , LOCALITY     , PEDIGREE     , SAMPSTAT     , SOURCE       , KERNELS      , NOTES        , FLAG         ,,,,,,,,,

RIMMA0284,Zea,mays subsp. mays,PI,408705,308254,United States,Iowa,40.8194,,93.9622,,Grown by Nelson Shields  Grand River  Iowa.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0285,Zea,mays subsp. mays,PI,414176,312390,United States,Illinois,37.7272,,89.2167,,From Nancy R. Funk  Carbondale  Illinois. Maintained by her family for nearly 100 years.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0286,Zea,mays subsp. mays,PI,414179,312393,United States,Texas,,,,From Ennis  Texas.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0287,Zea,mays subsp. mays,PI,414183,312397,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0288,Zea,mays subsp. mays,PI,452032,346968,United States,Pennsylvania,,,,Area of Butler  Pennsylvania,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0289,Zea,mays subsp. mays,PI,452037,346973,United States,Minnesota,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0290,Zea,mays subsp. mays,PI,452045,346981,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0291,Zea,mays subsp. mays,PI,452046,346982,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0292,Zea,mays subsp. mays,PI,452047,346983,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0293,Zea,mays subsp. mays,PI,452048,346984,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0294,Zea,mays subsp. mays,PI,452051,346987,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0295,Zea,mays subsp. mays,PI,452052,346988,United States,Tennessee,,,,Tennessee,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0296,Zea,mays subsp. mays,PI,452058,346994,United States,Illinois,41.8389,,89.4794,,Wilmer Gerdes farm  rural route 2  Dixon  Illinois.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0297,Zea,mays subsp. mays,PI,452059,346995,United States,Tennessee,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0298,Zea,mays subsp. mays,PI,483273,378209,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0299,Zea,mays subsp. mays,PI,483317,378253,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0300,Zea,mays subsp. mays,PI,520768,415704,United States,New York,,,,Obtained from Agway  Inc.  Syracuse  New York.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0301,Zea,mays subsp. mays,PI,520769,415705,United States,Pennsylvania,,,,Obtained from Hoffman Seed Co.  Landisville  Pennsylvania.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0302,Zea,mays subsp. mays,PI,540784,435720,United States,Georgia,,,,Atlanta,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0303,Zea,mays subsp. mays,PI,540785,435721,United States,Georgia,,,,Atlanta,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0304,Zea,mays subsp. mays,PI,543916,438852,,,,,,,T61 X Hill Yellow Dent,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0305,Zea,mays subsp. mays,PI,548792,443728,,,,,,,GT112,NC33/GT112,Breeder's line,USDA,,,,,,,,,,,

RIMMA0306,Zea,mays subsp. mays,PI,550440,445376,,,,,,,41.2504B/3*B14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0307,Zea,mays subsp. mays,PI,550441,445377,,,,,,,WF9/Mo22,Breeder's line,USDA,,identical to RIMMA0018,,,,,,,,,,

RIMMA0308,Zea,mays subsp. mays,PI,550454,445390,,,,,,,Inbred line of unknown origin  obtained from a private breeder.,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0309,Zea,mays subsp. mays,PI,550461,445397,,,,,,,(Cuzco/Early Dent)Selection//8*B14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0310,Zea,mays subsp. mays,PI,550462,445398,,,,,,,N32/2*B14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0311,Zea,mays subsp. mays,PI,550465,445401,,,,,,,41.2504B/3*B14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0312,Zea,mays subsp. mays,PI,550466,445402,,,,,,,C103/M14,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0313,Zea,mays subsp. mays,PI,550467,445403,,,,,,,Selected from Iowa Stiff Stalk Synthetic.,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0314,Zea,mays subsp. mays,PI,550469,445405,,,,,,,W22/B10,Breeder's line,USDA,7,,,,,,,,,,,

RIMMA0315,Zea,mays subsp. mays,PI,550472,445408,,,,,,,Selected from open,pollinated 'Midland'.,Breeder's line,USDA,,,,,,,,,,,

RIMMA0316,Zea,mays subsp. mays,PI,550473,445409,,,,,,,Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).,Breeder's line,USDA,,identical to RIMMA0019,,,,,,,,,,

RIMMA0317,Zea,mays subsp. mays,PI,550483,445419,,,,,,,(CI31A/B37)F2//B37,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0318,Zea,mays subsp. mays,PI,550490,445426,,,,,,,W755/W771,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0319,Zea,mays subsp. mays,PI,550518,445454,,,,,,,Selfing and selection in Jarvis Golden Prolific since 1930.,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0320,Zea,mays subsp. mays,PI,583896,62852,United States,Iowa,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0321,Zea,mays subsp. mays,PI,583897,62862,United States,Mississippi,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0322,Zea,mays subsp. mays,PI,583898,62865,United States,Mississippi,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0323,Zea,mays subsp. mays,PI,587124,82767,Canada,Manitoba,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0324,Zea,mays subsp. mays,PI,587125,82769,Canada,Ontario,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0325,Zea,mays subsp. mays,PI,587128,73894,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0326,Zea,mays subsp. mays,PI,587129,73895,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0327,Zea,mays subsp. mays,PI,587138,82747,,,,,,,[(WD X Wf9) WD(2)],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0328,Zea,mays subsp. mays,PI,587139,82749,,,,,,,[(A171 X Oh43) Oh43],Breeder's line,USDA,,,,,,,,,,,,

RIMMA0329,Zea,mays subsp. mays,PI,587141,82762,,,,,,,A116 X Wf9,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0330,Zea,mays subsp. mays,PI,587147,82778,,,,,,,(Wf9 X Oh40B)S4 X [(38,11 X L317)38,11]S4,Breeder's line,USDA,,,,,,,,,,

RIMMA0331,Zea,mays subsp. mays,PI,587148,84191,,,,,,,L97 X K55 (2),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0332,Zea,mays subsp. mays,PI,587149,82784,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0333,Zea,mays subsp. mays,PI,587150,84340,,,,,,,(C103 x T8)T8,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0334,Zea,mays subsp. mays,PI,587153,84341,,,,,,,(643 x Minn. 13),Breeder's line,USDA,,,,,,,,,,,,

RIMMA0335,Zea,mays subsp. mays,PI,601005,157406,,,,,,,,Advanced cultivar,USDA,,,,,,,,,,,,

RIMMA0336,Zea,mays subsp. mays,PI,607519,71169,,,,,,,Developed from (ND408 x ND230)x ND408.,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0337,Zea,mays subsp. mays,PI,607522,71541,,,,,,,Developed from AS,A  a population derived from 13 Corn Belt lines (A90  A498  A508  A509  A513  CMD5  MS1334  ND203  W33  W59M  W65  W79A  W103).,Breeder's line,USDA,,,,,,,,,,,

RIMMA0338,Zea,mays subsp. mays,PI,607593,45249,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0339,Zea,mays subsp. mays,PI,607599,45278,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0340,Zea,mays subsp. mays,PI,607602,45290,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0341,Zea,mays subsp. mays,PI,608465,117164,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0342,Zea,mays subsp. mays,PI,608502,117202,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0343,Zea,mays subsp. mays,PI,608519,117219,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0344,Zea,mays subsp. mays,PI,608539,119295,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0345,Zea,mays subsp. mays,PI,608599,26688,United States,Colorado,39.9611,,108.286,1524,Purdy Mesa (summit) on Kannah Creek  Mesa County. Farm.,Original source of variety was Bloody Butcher.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0346,Zea,mays subsp. mays,PI,608618,26799,United States,Colorado,39.3667,,103,1433,8 miles northeast of Flagler  Kit Carson County.,Original source of variety was Minnesota 13.  27 years of culture on the Brandenburg farm with good isolation.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0347,Zea,mays subsp. mays,PI,608619,26809,United States,Colorado,39.1667,,108.8,1372,5 miles west of Fruita  Mesa County.,Original source of variety was Minnesota 13.  3 years of culture on the Serve farm.  Fair isolation since Serve tried to maintain separation  but he also raised the variety Cedaredge Special.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0348,Zea,mays subsp. mays,PI,608621,26821,United States,Colorado,40.7,,102.633,1219,6 miles north of Haxtun  Phillips County.,Variety originated from a mixture of Minnesota 13 (for earliness) and Reids Yellow Dent (for kernel depth).  37 years of culture on the Meakins farm.  Good isolation since Meakins stopped growing it when hybrids came along.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0349,Zea,mays subsp. mays,PI,608643,26936,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0350,Zea,mays subsp. mays,PI,608646,29392,United States,Colorado,40.1139,,102.49,,Eckley  Yuma County.,Variety originated from Minnesota 13.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0351,Zea,mays subsp. mays,PI,608652,127906,United States,Colorado,39.0639,,108.55,,Western Slope near Grand Junction  Mesa County.,Original source of variety was Golden Glow.,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0352,Zea,mays subsp. mays,PI,608764,3216,,,,,,,B55 is a selection from the single cross Oh45 x W92 tested as (Oh45 x W92),1,1,2,Breeder's line,USDA,,,,,,,,,

RIMMA0353,Zea,mays subsp. mays,PI,608765,82038,,,,,,,B77 is a selection from Pioneer Two,Ear Composite (PHPRC)  tested as BS11(FR)CO,Q51,3,2,1,2,1,Breeder's line,USDA,,,,,

RIMMA0354,Zea,mays subsp. mays,PI,608766,82039,,,,,,,B79 is a selection from Iowa Two Ear Synthetic No. 1 (GP,12  PI 550446) tested as BS10(FR)CO,Q98,10,1,4,1,Breeder's line,USDA,,,,,,

RIMMA0355,Zea,mays subsp. mays,PI,608767,82045,,,,,,,B84 is a selection from Iowa BSSS(HT)C7 [renamed BS13(S2)C0] that was tested as BS13(S2)CO,45,6,2,1,1,Breeder's line,USDA,,,,,,,

RIMMA0356,Zea,mays subsp. mays,PI,608774,82037,,,,,,,B75 is a selection from Iowa Corn Borer Synthetic No. 3 [BSCB3 (PI 550450)].,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0357,Zea,mays subsp. mays,PI,608777,82040,,,,,,,B85 was developed from BSCB6(S)C3,77,Breeder's line,USDA,,,,,,,,,,,

RIMMA0358,Zea,mays subsp. mays,PI,648423,729918,,,,,,,Maize lines elevated in methionine were generated by crossing inbred lines A632  B73 and Mo17 to a high,methionine donor parent  BSSS53.  A632  B73 and Mo17  yellow endosperm corn,belt dent lines  were the recurrent parents in the backcross scheme.  The converted A632  B73 and Mo17 lines (3,5 backcrosses) have 11%  22% and 50% elevated methionine levels  respectively.  BSSS53 is a random line isolate from the Iowa Stiff Stalk Synthetic population.,Breeder's line,USDA,,,,,,,,,

RIMMA0359,Zea,mays subsp. mays,PI,648430,729925,,,,,,,Maize lines elevated in methionine were generated by crossing inbred lines A632  B73 and Mo17 to a high,methionine donor parent  BSSS53.  A632  B73 and Mo17  yellow endosperm corn,belt dent lines  were the recurrent parents in the backcross scheme.  The converted A632  B73 and Mo17 lines (3,5 backcrosses) have 11%  22% and 50% elevated methionine levels  respectively.  BSSS53 is a random line isolate from the Iowa Stiff Stalk Synthetic population.,Breeder's line,USDA,,Mo17,,,,,,,

RIMMA0360,Zea,mays subsp. mays,,,,Mexico,Chihuahua,26.2465,106.915,,Nabogame,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/22/08 Individuals: A,M (13) Notes: bag M contains three cobs,,,,,,,,,

RIMMA0361,Zea,mays subsp. mays,,,,Mexico,Michoacan,20.1176,101.93,,Penjamillo,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/22/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0362,Zea,mays subsp. mays,,,,Mexico,Michoacan,19.4184,101.642,,Santa Clara,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/30/08 Individuals: A,I (9) Notes: Bag I contains three hybrid cobs,,,,,,,,,

RIMMA0363,Zea,mays subsp. mays,,,,Mexico,Michoacan,19.6789,100.64,,El Porvenir,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/19/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0364,Zea,mays subsp. mays,,,,Mexico,Mexico,19.139,98.7733,,Amecameca,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/13/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0365,Zea,mays subsp. mays,,,,Mexico,Mexico,19.2351,98.8368,,Tlapala,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/14/08 Individuals: A,I (9) Notes: ,,,,,,,,,

RIMMA0366,Zea,mays subsp. mays,,,,Mexico,Mexico,19.3764,99.6303,,Jicaltepec,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/1/08 Individuals: A,K (11) Notes: ,,,,,,,,,

RIMMA0367,Zea,mays subsp. mays,,,,Mexico,Mexico,19.2244,98.8427,,Cocotilan,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/14/08 Individuals: A,H (8) Notes: ,,,,,,,,,

RIMMA0368,Zea,mays subsp. mays,,,,Mexico,Michoacan,19.4181,101.613,,Opopeo,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/30/08 Individuals: A,I (9) Notes: ,,,,,,,,,

RIMMA0369,Zea,mays subsp. mays,,,,Mexico,Morelos,18.9719,99.0551,,"Amatlan, Morelos",,Traditional cultivar/landrace,Lubinsky,,Collected: 11/1/08 Individuals: A,G (7) Notes: ,,,,,,,,,

RIMMA0370,Zea,mays subsp. mays,,,,Mexico,Michoacan,20.1076,101.49,,Puruandiro(Victor),,Traditional cultivar/landrace,Lubinsky,,Collected: 10/29/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0371,Zea,mays subsp. mays,,,,Mexico,Michoacan,20.1683,102.373,,Ixtlan,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/28/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0372,Zea,mays subsp. mays,,,,Mexico,Puebla,19.0886,98.4935,,San Pedro,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/12/08 Individuals: A,G (7) Notes: ,,,,,,,,,

RIMMA0373,Zea,mays subsp. mays,,,,Mexico,Mexico,19.1197,99.5896,,Tenango del Aire,,Traditional cultivar/landrace,Lubinsky,,Collected: 10/31/08 Individuals: A,H (8) Notes: ,,,,,,,,,

RIMMA0374,Zea,mays subsp. mays,,,,Mexico,Distrito Federal,19.2861,99.0827,,Xochimilco,,Traditional cultivar/landrace,Lubinsky,,Collected: 11/4/08 Individuals: A,J (10) Notes: ,,,,,,,,,

RIMMA0375,Zea,mays subsp. mays,,,,,,,,,,,,McMullen,,B73 x Mo17 F1,,,,,,,,,,

RIMMA0378,Zea,mays subsp. mays,NSL,65871,112440,,,,,,,Iodent,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0379,Zea,mays subsp. mays,NSL,283507,210687,Cuba,,,,,,,Unknown,USDA,,,,,,,,,,,,

RIMMA0381,Zea,mays subsp. mays,PI,213799,175992,,,,,,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0382,Zea,mays subsp. mays,PI,217410,177460,United States,Arizona,,,,Obtained from the Papago indians in the desert south of Tucson  Arizona.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0383,Zea,mays subsp. mays,PI,218140,177807,United States,New Mexico,,,2073,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0384,Zea,mays subsp. mays,PI,218142,177809,United States,New Mexico,,,2134,Penasco  New Mexico from Tom Martinez.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0385,Zea,mays subsp. mays,PI,218152,177819,United States,New Mexico,,,2134,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0386,Zea,mays subsp. mays,PI,218163,177830,United States,Arizona,,,1615,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0387,Zea,mays subsp. mays,PI,218173,177840,United States,New Mexico,,,1829,,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0388,Zea,mays subsp. mays,PI,443820,338756,Colombia,Antioquia,,,1500,Antioquia State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0389,Zea,mays subsp. mays,PI,444005,338941,Colombia,Atlantico,,,7,Atlantico State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0390,Zea,mays subsp. mays,PI,444254,339190,Colombia,Caldas,,,1500,Caldas State,,Traditional cultivar/landrace,USDA,,>100 seeds left,,,,,,,,,,

RIMMA0391,Zea,mays subsp. mays,PI,444296,339232,Colombia,Caqueta,,,700,Caqueta State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0392,Zea,mays subsp. mays,PI,444309,339245,Colombia,Caqueta,,,500,Caqueta State,,Traditional cultivar/landrace,USDA,,<50 seeds left,,,,,,,,,,

RIMMA0393,Zea,mays subsp. mays,PI,444473,339409,Colombia,Cordoba,,,100,Cordoba State,,Traditional cultivar/landrace,USDA,,>100 seeds left,,,,,,,,,,

RIMMA0394,Zea,mays subsp. mays,PI,444621,339557,Colombia,Cundinamarca,,,1000,Cundinamarca State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0395,Zea,mays subsp. mays,PI,444731,339667,Colombia,Choco,,,30,Choco State,,Traditional cultivar/landrace,USDA,,"seed sent to double haploid facility in Ames, Iowa for highland/lowland\ >50 seeds left",,,,,,,,,,

RIMMA0396,Zea,mays subsp. mays,PI,444834,339770,Colombia,Huila,,,1100,Huila State,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0397,Zea,mays subsp. mays,PI,444897,339833,Colombia,Magdalena,,,50,Magdalena State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0398,Zea,mays subsp. mays,PI,444923,339859,Colombia,Magdalena,,,27,Magdalena State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0399,Zea,mays subsp. mays,PI,444954,339890,Colombia,Magdalena,,,250,Magdalena State,,Traditional cultivar/landrace,USDA,,"seed sent to double haploid facility in Ames, Iowa for highland/lowland\ ",,,,,,,,,,

RIMMA0400,Zea,mays subsp. mays,NSL,22629,88093,,,,,,,[(Oh07 x 38,11) Oh07],Breeder's line,USDA,,,,,,,,,,,

RIMMA0401,Zea,mays subsp. mays,NSL,22633,88097,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0402,Zea,mays subsp. mays,NSL,30904,101133,,,,,,,,Breeder's line,USDA,,,,,,,,,,,,

RIMMA0403,Zea,mays subsp. mays,PI,445163,340099,Colombia,Narino,,,1900,Narino State,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0404,Zea,mays subsp. mays,PI,445322,340258,Colombia,Norte de Santander,,,500,Santander N. State,,Traditional cultivar/landrace,USDA,,12,,,,,,,,,,

RIMMA0405,Zea,mays subsp. mays,PI,445355,340291,Colombia,Norte de Santander,,,1100,Santander N. State,,Traditional cultivar/landrace,USDA,,>100 seeds left,,,,,,,,,,

RIMMA0406,Zea,mays subsp. mays,PI,445514,340450,Colombia,Tolima,,,450,Tolima State,,Traditional cultivar/landrace,USDA,,<50 seeds left,,,,,,,,,,

RIMMA0407,Zea,mays subsp. mays,PI,445528,340464,Colombia,Tolima,,,450,Tolima State,,Traditional cultivar/landrace,USDA,,<50 seeds left,,,,,,,,,,

RIMMA0408,Zea,mays subsp. mays,PI,478967,373903,Mexico,Chiapas,,,,Chiapas,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0409,Zea,mays subsp. mays,PI,478968,373904,Mexico,Chiapas,,,,Chiapas,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0410,Zea,mays subsp. mays,PI,478970,373906,Mexico,Chiapas,,,,Chiapas,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0411,Zea,mays subsp. mays,PI,479044,373980,Mexico,Nayarit,,,,Nayarit,,Other,USDA,,,,,,,,,,,,

RIMMA0412,Zea,mays subsp. mays,PI,484406,379342,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0413,Zea,mays subsp. mays,PI,484413,379349,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0414,Zea,mays subsp. mays,PI,484421,379357,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0415,Zea,mays subsp. mays,PI,213733,175927,United States,Arizona,,,,Hotevilla village. Hopi Tribe  Arizona.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0416,Zea,mays subsp. mays,PI,484428,379364,Mexico,Chihuahua,,,,Chihuahua,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0417,Zea,mays subsp. mays,PI,484431,379367,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0418,Zea,mays subsp. mays,PI,484476,379412,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0419,Zea,mays subsp. mays,PI,484482,379418,Mexico,Chihuahua,,,,Chihuahua,,Other,USDA,,,,,,,,,,,,

RIMMA0420,Zea,mays subsp. mays,PI,484506,379442,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0421,Zea,mays subsp. mays,PI,484595,379531,Mexico,Puebla,,,,Puebla,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0422,Zea,mays subsp. mays,PI,485071,380007,Mexico,Puebla,,,,Puebla,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0423,Zea,mays subsp. mays,PI,485116,380052,Mexico,Chihuahua,,,,Chihuahua,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0424,Zea,mays subsp. mays,PI,485120,380056,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0425,Zea,mays subsp. mays,PI,485128,380064,Mexico,Chihuahua,,,,Chihuahua,,Traditional cultivar/landrace,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0426,Zea,mays subsp. mays,PI,485151,380087,Peru,Ancash,,,,Ancash,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0427,Zea,mays subsp. mays,PI,485320,380256,Peru,Lambayeque,,,,Lambayeque,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0428,Zea,mays subsp. mays,PI,485354,380290,Peru,Huanuco,,,,Huanuco,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0429,Zea,mays subsp. mays,PI,485358,380294,Peru,La Libertad,,,,Libertad,,Other,USDA,,,,,,,,,,,,

RIMMA0430,Zea,mays subsp. mays,PI,485362,380298,Peru,Ancash,,,,Ancash,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0431,Zea,mays subsp. mays,PI,485363,380299,Peru,Huanuco,,,,Huanuco,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0432,Zea,mays subsp. mays,PI,489126,384062,Mexico,Puebla,,,,Puebla,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0433,Zea,mays subsp. mays,PI,490825,385761,Guatemala,Chiquimula,14.7833,,89.55,457,Santa Elena. Farmer's field.,,Traditional cultivar/landrace,USDA,,,,,,,,,,,

RIMMA0434,Zea,mays subsp. mays,PI,490921,385857,Mexico,Nayarit,,,,Jalisco,,Traditional cultivar/landrace,USDA,,,,,,,,,,,,

RIMMA0435,Zea,mays subsp. mays,PI,490973,385909,Mexico,Sonora,,,,Sonora,,Other,USDA,,,,,,,,,,,,

RIMMA0436,Zea,mays subsp. mays,PI,514723,409659,Peru,Amazonas,,,,,,Other,USDA,,<50 seeds left\ ,,,,,,,,,,

RIMMA0437,Zea,mays subsp. mays,PI,514752,409688,Peru,Ancash,,,,,,Other,USDA,,<50 seeds left,,,,,,,,,,

RIMMA0438,Zea,mays subsp. mays,PI,514809,409745,Peru,Ancash,,,,,,Other,USDA,,"seed sent to double haploid facility in Ames, Iowa for highland/lowland\ >50 seeds left; in Wang et al. 2017 this number switched with 625 (so what is labeled as 625 in that paper is really this sample)",,,,,,,,,,

RIMMA0439,Zea,mays subsp. mays,PI,514969,409905,Peru,La Libertad,,,,,,Other,USDA,,>50 seeds left,,,,,,,,,,

RIMMA0440,Zea,mays subsp. mays,PI,515053,409989,Peru,Loreto,,5.9,,76.0833,150,Yurimaguas  Amazonas  Loreto.,,Traditional cultivar/landrace,USDA,,,,,,,,,,

RIMMA0441,Zea,mays subsp. mays,PI,515538,410474,Mexico,Veracruz,,,,,,Other,USDA,,>50 seeds left,,,,,,,,,,

