number_within_pop	RI_ACCESSION	zea	symp_allo	old_ID	LOCALITY	est_coverage	popN	family	under0.5x	notes	got_seed	Library fail	Exclude-repeat
7	RIMME0029	mexicana	sympatric	NA	Ixtlan	0	29	Q	NA		1		
8	RIMME0029	mexicana	sympatric	NA	Ixtlan	1	29	O	NA		1		
9	RIMME0029	mexicana	sympatric	NA	Ixtlan	2	29	S	NA		1		
10	RIMME0029	mexicana	sympatric	NA	Ixtlan	3	29	J	NA		1		
11	RIMME0029	mexicana	sympatric	NA	Ixtlan	4	29	L	NA		1		
12	RIMME0029	mexicana	sympatric	NA	Ixtlan	5	29	B	NA		1		
13	RIMME0029	mexicana	sympatric	NA	Ixtlan	6	29	T	NA		1		
1	RIMME0030	mexicana	sympatric	HILO139	San Pedro	0.8656	30	H1	FALSE		0		
2	RIMME0030	mexicana	sympatric	HILO9	San Pedro	0.6265	30	I1	FALSE		0		
3	RIMME0030	mexicana	sympatric	HILO19	San Pedro	1.0645	30	J1	FALSE		0		
4	RIMME0030	mexicana	sympatric	HILO55	San Pedro	0.1641	30	A1	TRUE		0		
5	RIMME0030	mexicana	sympatric	HILO39	San Pedro	0.2785	30	B2	TRUE		0		
6	RIMME0030	mexicana	sympatric	HILO124	San Pedro	0.4237	30	C2	TRUE		0		
7	RIMME0030	mexicana	sympatric	HILO225	San Pedro	0	30	D1	TRUE		0		
8	RIMME0030	mexicana	sympatric	HILO56	San Pedro	0.2662	30	E1	TRUE		0		
9	RIMME0030	mexicana	sympatric	HILO235	San Pedro	0	30	L1	TRUE		0		
10	RIMME0030	mexicana	sympatric	HILO94	San Pedro	0.4842	30	M1	TRUE		0		
11	RIMME0030	mexicana	sympatric	NA	San Pedro	0	30	S	NA		1		
12	RIMME0030	mexicana	sympatric	NA	San Pedro	1	30	K	NA		1		
13	RIMME0030	mexicana	sympatric	NA	San Pedro	2	30	P	NA		1		
14	RIMME0030	mexicana	sympatric	NA	San Pedro	3	30	N	NA		1		
15	RIMME0030	mexicana	sympatric	NA	San Pedro	4	30	R	NA		1		
16	RIMME0030	mexicana	sympatric	NA	San Pedro	5	30	O	NA		1		
17	RIMME0030	mexicana	sympatric	NA	San Pedro	6	30	G	NA		1		
1	RIMME0031	mexicana	sympatric	HILO134	Tenango del Aire	0.6715	31	A1	FALSE		0		
2	RIMME0031	mexicana	sympatric	HILO71	Tenango del Aire	0.5347	31	O1	FALSE		0		
3	RIMME0031	mexicana	sympatric	HILO60	Tenango del Aire	0.3632	31	D2	TRUE		0		
4	RIMME0031	mexicana	sympatric	HILO273	Tenango del Aire	0	31	G1	TRUE		0		
5	RIMME0031	mexicana	sympatric	HILO230	Tenango del Aire	0	31	H1	TRUE		1		
6	RIMME0031	mexicana	sympatric	HILO275	Tenango del Aire	0	31	I1	TRUE		1		
7	RIMME0031	mexicana	sympatric	HILO83	Tenango del Aire	0.3725	31	J1	TRUE		0		
8	RIMME0031	mexicana	sympatric	HILO245	Tenango del Aire	0	31	K1	TRUE		1		
9	RIMME0031	mexicana	sympatric	HILO231	Tenango del Aire	0	31	L1	TRUE		0		
10	RIMME0031	mexicana	sympatric	HILO270	Tenango del Aire	0	31	M1	TRUE		1		
11	RIMME0031	mexicana	sympatric	HILO228	Tenango del Aire	0	31	N1	TRUE		1		
12	RIMME0031	mexicana	sympatric	NA	Tenango del Aire	0	31	C	NA		1		
13	RIMME0031	mexicana	sympatric	NA	Tenango del Aire	0	31	F	NA		1		
14	RIMME0031	mexicana	sympatric	NA	Tenango del Aire	0	31	B	NA		1		
1	RIMME0033	mexicana	allopatric	HILO185	Puerta Encantada	0.5934	33	A	FALSE		1		
2	RIMME0033	mexicana	allopatric	HILO196	Puerta Encantada	0.4242	33	B	TRUE		0		
3	RIMME0033	mexicana	allopatric	HILO192	Puerta Encantada	0.0746	33	D	TRUE		1		
4	RIMME0033	mexicana	allopatric	HILO143	Puerta Encantada	0.308	33	F	TRUE		0		
5	RIMME0033	mexicana	allopatric	HILO159	Puerta Encantada	0.2602	33	G	TRUE		1		
6	RIMME0033	mexicana	allopatric	HILO173	Puerta Encantada	0.0982	33	H	TRUE		0		
7	RIMME0033	mexicana	allopatric	HILO180	Puerta Encantada	0.0166	33	I	TRUE		0		
8	RIMME0033	mexicana	allopatric	HILO179	Puerta Encantada	0.075	33	J	TRUE		0		
9	RIMME0033	mexicana	allopatric	HILO167	Puerta Encantada	0.3548	33	K	TRUE		0		
10	RIMME0033	mexicana	allopatric	HILO152	Puerta Encantada	0.4737	33	M	TRUE		0		
11	RIMME0033	mexicana	allopatric	HILO203	Puerta Encantada	0.2764	33	O	TRUE		1		
1	RIMME0034	mexicana	sympatric	HILO215	Santa Clara	0.8038	34	F	FALSE		0		
2	RIMME0034	mexicana	sympatric	HILO171	Santa Clara	0.2843	34	C	TRUE		0		
3	RIMME0034	mexicana	sympatric	HILO216	Santa Clara	0.0017	34	D	TRUE		0		
4	RIMME0034	mexicana	sympatric	HILO172	Santa Clara	0.3256	34	I	TRUE	sequence only if another plant in this pop didn't grow	1		
5	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	J	NA		1		
6	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	K	NA		1		
7	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	B	NA		1		
8	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	E	NA		1		
9	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	M	NA		1		
10	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	G	NA		1		
11	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	N	NA		1		
12	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	O	NA		1		
13	RIMME0034	mexicana	sympatric	NA	Santa Clara	0	34	L	NA		1		
1	RIMME0035	mexicana	sympatric	HILO34	Xochimilco	1.0353	35	D1	FALSE		0		
2	RIMME0035	mexicana	sympatric	HILO111	Xochimilco	0.7842	35	I1	FALSE		0		
3	RIMME0035	mexicana	sympatric	HILO102	Xochimilco	0.5277	35	J1	FALSE		0		
4	RIMME0035	mexicana	sympatric	HILO105	Xochimilco	0.6443	35	K2	FALSE		0		
5	RIMME0035	mexicana	sympatric	HILO116	Xochimilco	0.4849	35	B1	TRUE		0		
6	RIMME0035	mexicana	sympatric	HILO45	Xochimilco	0.4863	35	E2	TRUE		0		
7	RIMME0035	mexicana	sympatric	HILO264	Xochimilco	0	35	F1	TRUE		0		
8	RIMME0035	mexicana	sympatric	HILO259	Xochimilco	0	35	L1	TRUE		0		
9	RIMME0035	mexicana	sympatric	HILO239	Xochimilco	0	35	N1	TRUE		0		
10	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	G	NA		1		
11	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	H	NA		1		
12	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	C	NA		1		
13	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	A	NA		1		
14	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	M	NA		1		
15	RIMME0035	mexicana	sympatric	NA	Xochimilco	0	35	O	NA		1		
